Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
5,0,0,0,0
10,0,0,0,0
15,19,0,0,0
20,22,0,0,0
25,22,0,0,0
30,23,0,0,0
35,25,0,0,0
40,25,0,0,0
45,23,0,0,0
50,27,0,0,0
55,28,0,0,0
60,28,0,0,0
65,28,0,0,0
70,28,0,0,0
75,28,0,0,0
80,29,0,0,0
85,32,0,0,0
90,32,0,0,0
95,34,0,0,0
100,35,0,0,0
105,34,0,0,0
110,34,0,0,0
115,34,0,0,0
120,35,0,0,0
125,34,0,0,0
130,31,0,0,0
135,32,0,0,0
140,32,0,0,0
145,32,0,0,0
150,30,0,0,0
155,26,0,0,0
160,27,0,0,0
165,26,0,0,0
170,27,0,0,0
175,27,0,0,0
180,28,0,0,0
185,28,0,0,0
190,27,0,0,0
195,26,0,0,0
200,26,0,0,0
205,27,0,0,0
210,28,0,0,0
215,28,0,0,0
220,28,0,0,0
